2022-09-05,USD,AUD,1.4
2022-09-05,AUD,CNY,4.7
2022-09-05,USD,JPY,143.31
2022-09-05,AUD,NZD,1.1
2022-09-05,USD,NZD,1.75
2022-09-05,USD,CNY,7
2022-09-05,CNY,JPY,18
2022-09-05,JPY,NZD,83.4
2022-09-05,NZD,CNY,4.1
2022-09-05,JPY,AUD,0.011
2022-09-26,USD,AUD,1.37
2022-09-26,AUD,CNY,4.65
2022-09-26,USD,JPY,145.8
2022-09-26,AUD,NZD,1.15
2022-09-26,USD,NZD,1.7
2022-09-26,USD,CNY,7.5
2022-09-26,CNY,JPY,18.9
2022-09-26,JPY,NZD,86.4
2022-09-26,NZD,CNY,4.1
2022-09-26,JPY,AUD,0.010
2022/09/13,JPY,USD,0.92022/09/12,VND,AUD,0.62022/09/13,JPY,USD,0.92022/09/12,VND,AUD,0.62022/09/13,JPY,USD,0.92022/09/13,JPY,USD,0.9
